Ranking,Barrio,Precio,Prediccion_Precio,Diferencia_Precio,Upside_%,Dormitorios,Ambientes,Sup_Total_m2,Precio_m2
1,Villa del Parque,320000,438555.22,118555.21999999997,37.04850624999999,3.0,4.0,153.0,2091.503267973856
2,Puerto Madero,130000,246356.53,116356.53,89.50502307692307,5.0,6.0,113.0,1150.4424778761063
3,Belgrano,420000,533260.56,113260.56000000006,26.966800000000013,3.0,5.0,189.0,2222.222222222222
4,Retiro,290000,403196.66,113196.65999999997,39.03333103448275,3.0,4.0,178.0,1629.2134831460671
5,Puerto Madero,240000,351984.84,111984.84000000003,46.66035000000001,1.0,3.0,101.0,2376.237623762376
6,Puerto Madero,390000,491583.12,101583.12,26.046953846153848,2.0,3.0,102.0,3823.529411764706
7,Puerto Madero,540000,639401.56,99401.56000000006,18.407696296296304,3.0,4.0,122.0,4426.229508196721
8,Recoleta,650000,746608.4,96608.40000000002,14.862830769230772,4.0,5.0,285.0,2280.7017543859647
9,Chacarita,102000,197695.03,95695.03,93.8186568627451,3.0,4.0,110.0,927.2727272727273
10,Palermo,175000,267696.72,92696.71999999997,52.969554285714274,3.0,4.0,105.0,1666.6666666666667
11,Retiro,155000,243414.98,88414.98000000001,57.04192258064516,2.0,3.0,112.0,1383.928571428571
12,Almagro,200000,288394.53,88394.53000000003,44.197265000000016,3.0,4.0,117.0,1709.4017094017097
13,San Telmo,115000,202952.28,87952.28,76.48024347826087,3.0,4.0,145.0,793.1034482758621
14,Retiro,330000,415252.62,85252.62,25.83412727272727,4.0,5.0,203.0,1625.615763546798
15,Recoleta,118000,200579.16,82579.16,69.98233898305085,4.0,5.0,106.0,1113.2075471698113
16,Caballito,180000,262219.22,82219.21999999997,45.67734444444443,2.0,3.0,100.0,1800.0
17,Puerto Madero,400000,481082.34,81082.34000000003,20.270585000000008,2.0,3.0,83.0,4819.277108433735
18,Recoleta,235000,315310.94,80310.94,34.17486808510638,3.0,5.0,149.0,1577.1812080536913
19,Palermo,188000,267712.44,79712.44,42.400234042553194,2.0,3.0,74.0,2540.5405405405404
20,Almagro,180000,259025.95,79025.95000000001,43.90330555555556,2.0,3.0,100.0,1800.0
